Worker;Subclass;Infraclass;Superorder;Order;Suborder;Superfamily;Family;ONG;Genus;ONS;Species;Name;Ecology;Section;Sample;Height;Lithology;StrSeq;StrSeq_sub;Age;Coll. No.;No. of rock sample;No. of specimen;BNM;LV;RV;Length;Height;L/H;Gsize;LN
Hautmann von Hofmann et al. (2015);AUTOBRANCHIA;PTERIOMORPHIA;;PECTINIDA;ENTOLIIDINA;HETEROPECTINOIDEA;HETEROPECTINIDAE;;Eumorphotis;;beneckei;Eumorphotis beneckei;;Aferer Geisler;AG23;;;In2;;-251,39;31115;;;;1;;22;27;0,80;24,40;3,20
Herwig Prinoth;AUTOBRANCHIA;PTERIOMORPHIA;;PECTINIDA;ENTOLIIDINA;HETEROPECTINOIDEA;HETEROPECTINIDAE;;Eumorphotis;;lorigae;Eumorphotis lorigae;stationary, epifaunal suspension feeder ;Balest;BA713;145,4;Marl;Lo5;Lo5_03;-252,337;;BA713.13;BA713.13.05;;1;;16,7;20,4;0,80;18,40;2,90
Hautmann von Hofmann et al. (2015);AUTOBRANCHIA;PTERIOMORPHIA;;PECTINIDA;ENTOLIIDINA;HETEROPECTINOIDEA;HETEROPECTINIDAE;;Eumorphotis;cf.;multiformis;Eumorphotis multiformis;;Aferer Geisler;AG2;;;In1;;-251,771;AG2-EM-1;;;;1;;12,5;15;0,80;13,70;2,60
Herwig Prinoth;AUTOBRANCHIA;PTERIOMORPHIA;;PECTINIDA;ENTOLIIDINA;HETEROPECTINOIDEA;HETEROPECTINIDAE;;Eumorphotis;;multiformis;Eumorphotis multiformis;;Balest;BA.MMb.105;38;;In1;;-251,771;8;41;;;1;;5,3;7;0,80;6,10;1,80
Herwig Prinoth;AUTOBRANCHIA;PTERIOMORPHIA;;PECTINIDA;ENTOLIIDINA;HETEROPECTINOIDEA;HETEROPECTINIDAE;;Eumorphotis;;multiformis;Eumorphotis multiformis;;Balest;BA.MMb.105;38;;In1;;-251,771;2;13;;;1;;10,1;12,9;0,80;11,40;2,40
Hautmann von Hofmann et al. (2015);AUTOBRANCHIA;PTERIOMORPHIA;;PECTINIDA;ENTOLIIDINA;HETEROPECTINOIDEA;HETEROPECTINIDAE;;Eumorphotis;cf.;multiformis;Eumorphotis multiformis;;Aferer Geisler;AG14;;;In2;;-251,39;AG14-EM-1;;;;1;;14;17,5;0,80;15,70;2,80
Hautmann von Hofmann et al. (2015);AUTOBRANCHIA;PTERIOMORPHIA;;PECTINIDA;ENTOLIIDINA;HETEROPECTINOIDEA;HETEROPECTINIDAE;;Eumorphotis;cf.;multiformis;Eumorphotis multiformis;;Rosengarten;RG20;;;In2;;-251,39;RG20-EM-1;;;;1;;13;16;0,80;14,40;2,70
Herwig Prinoth;AUTOBRANCHIA;PTERIOMORPHIA;;PECTINIDA;ENTOLIIDINA;HETEROPECTINOIDEA;HETEROPECTINIDAE;;Eumorphotis;;praecurrens;Eumorphotis praecurrens;stationary, epifaunal suspension feeder ;Balest;BA189;28,9;Dolomite;Lo3;Lo3_02;-254;MLCS 140;BA189.11;BA189.11.01;;1;;25;32;0,80;28,30;3,30
Herwig Prinoth;AUTOBRANCHIA;PTERIOMORPHIA;;PECTINIDA;ENTOLIIDINA;HETEROPECTINOIDEA;HETEROPECTINIDAE;;Eumorphotis;;striatocostata;Eumorphotis striatocostata;stationary, epifaunal suspension feeder ;Balest;BA460;110,55;Limestone;Lo4;Lo4_03;-253,174;MLCS 316;BA460.12;BA460.12.01;;1;;35;42;0,80;38,30;3,60
Herwig Prinoth;AUTOBRANCHIA;PTERIOMORPHIA;;PECTINIDA;ENTOLIIDINA;HETEROPECTINOIDEA;HETEROPECTINIDAE;;Eumorphotis;;striatocostata;Eumorphotis striatocostata;stationary, epifaunal suspension feeder ;Preroman;PR061;10,9;Limestone;Lo4;Lo4_03;-253,174;MLCS 1054;PR61a.23;PR61a.23.01;;1;;28,3;35,6;0,80;31,70;3,50
Herwig Prinoth;AUTOBRANCHIA;PTERIOMORPHIA;;PECTINIDA;ENTOLIIDINA;HETEROPECTINOIDEA;HETEROPECTINIDAE;;Eumorphotis;;striatocostata;Eumorphotis striatocostata;stationary, epifaunal suspension feeder ;Balest;BA599;129,1;Limestone;Lo5;Lo5_01;-252,337;;;BA599.10.02;;1;;18,8;23,9;0,80;21,20;3,10
Herwig Prinoth;AUTOBRANCHIA;PTERIOMORPHIA;;PECTINIDA;ENTOLIIDINA;HETEROPECTINOIDEA;HETEROPECTINIDAE;;Eumorphotis;;striatocostata;Eumorphotis striatocostata;stationary, epifaunal suspension feeder ;Balest;BA599;129,1;Limestone;Lo5;Lo5_01;-252,337;MLCS 1976;BA599.10;BA599.10.01;;1;;21,2;25,3;0,80;23,20;3,10
Herwig Prinoth;AUTOBRANCHIA;PTERIOMORPHIA;;PECTINIDA;ENTOLIIDINA;HETEROPECTINOIDEA;HETEROPECTINIDAE;;Eumorphotis;;striatocostata;Eumorphotis striatocostata;stationary, epifaunal suspension feeder ;Jmueia;JM188;31,75;Limestone;Lo5;Lo5_01;-252,337;;;JM188a.01b.04;;1;;6,9;8,4;0,80;7,60;2,00
Herwig Prinoth;AUTOBRANCHIA;PTERIOMORPHIA;;PECTINIDA;ENTOLIIDINA;HETEROPECTINOIDEA;HETEROPECTINIDAE;;Eumorphotis;;striatocostata;Eumorphotis striatocostata;stationary, epifaunal suspension feeder ;Jmueia;JM188;31,75;Limestone;Lo5;Lo5_01;-252,337;;;JM188a.08.80;;1;;7,3;9;0,80;8,10;2,10
Herwig Prinoth;AUTOBRANCHIA;PTERIOMORPHIA;;PECTINIDA;ENTOLIIDINA;HETEROPECTINOIDEA;HETEROPECTINIDAE;;Eumorphotis;;striatocostata;Eumorphotis striatocostata;stationary, epifaunal suspension feeder ;Jmueia;JM188;31,75;Limestone;Lo5;Lo5_01;-252,337;;;JM188a.08.79;;1;;13,2;16,5;0,80;14,70;2,70
Herwig Prinoth;AUTOBRANCHIA;PTERIOMORPHIA;;PECTINIDA;ENTOLIIDINA;HETEROPECTINOIDEA;HETEROPECTINIDAE;;Eumorphotis;;striatocostata;Eumorphotis striatocostata;stationary, epifaunal suspension feeder ;Jmueia;JM188;31,75;Limestone;Lo5;Lo5_01;-252,337;;;JM188a.01b.02;;1;;13,4;15,9;0,80;14,60;2,70
Herwig Prinoth;AUTOBRANCHIA;PTERIOMORPHIA;;PECTINIDA;ENTOLIIDINA;HETEROPECTINOIDEA;HETEROPECTINIDAE;;Eumorphotis;;striatocostata;Eumorphotis striatocostata;stationary, epifaunal suspension feeder ;Jmueia;JM188;31,75;Limestone;Lo5;Lo5_01;-252,337;;;JM188a.08.74;;1;;15,9;19,4;0,80;17,50;2,90
Herwig Prinoth;AUTOBRANCHIA;PTERIOMORPHIA;;PECTINIDA;ENTOLIIDINA;HETEROPECTINOIDEA;HETEROPECTINIDAE;;Eumorphotis;;striatocostata;Eumorphotis striatocostata;stationary, epifaunal suspension feeder ;Jmueia;JM188;31,75;Limestone;Lo5;Lo5_01;-252,337;;;JM188a.08.72;;1;;17,7;21,9;0,80;19,70;3,00
Herwig Prinoth;AUTOBRANCHIA;PTERIOMORPHIA;;PECTINIDA;ENTOLIIDINA;HETEROPECTINOIDEA;HETEROPECTINIDAE;;Eumorphotis;;striatocostata;Eumorphotis striatocostata;stationary, epifaunal suspension feeder ;Jmueia;JM188;31,75;Limestone;Lo5;Lo5_01;-252,337;;;JM188a.08.71;;1;;22,6;28,3;0,80;25,30;3,20
Herwig Prinoth;AUTOBRANCHIA;PTERIOMORPHIA;;PECTINIDA;;AVICULOPECTINOIDEA;ASOELLIDAE;;Gardenapecten;;comelicanus;Gardenapecten comelicanus;stationary, epifaunal suspension feeder;Balest;BA731;149,3;Limestone;Lo5;Lo5_03;-252,337;MLCS 740;BA731.18;BA731.18.01;;1;;6;7,2;0,80;6,60;1,90
Herwig Prinoth;AUTOBRANCHIA;PTERIOMORPHIA;;PECTINIDA;;AVICULOPECTINOIDEA;ASOELLIDAE;;Gardenapecten;;comelicanus;Gardenapecten comelicanus;stationary, epifaunal suspension feeder;Preroman;PR246;41,8;Limestone;Lo5;Lo5_03;-252,337;MLCS 1370;PR246.05;PR246.05.01;;1;;3,3;4,1;0,80;3,70;1,30
Herwig Prinoth;AUTOBRANCHIA;PTERIOMORPHIA;;PECTINIDA;;AVICULOPECTINOIDEA;ASOELLIDAE;;Gardenapecten;;trinkeri;Gardenapecten trinkeri;stationary, epifaunal suspension feeder;Balest;BA231;65,9;Dolomite;Lo4;Lo4_01;-253,174;MLCS 187;BA231.15a.01;BA231.15a.01;;1;;8,9;10,6;0,80;9,70;2,30
Herwig Prinoth;AUTOBRANCHIA;PTERIOMORPHIA;;PECTINIDA;;AVICULOPECTINOIDEA;ASOELLIDAE;;Gardenapecten;;trinkeri;Gardenapecten trinkeri;stationary, epifaunal suspension feeder;Balest;BA634;134,5;Limestone;Lo5;Lo5_02;-252,337;MLCS 644;BA634.80;BA634.80.01;;1;;5,3;6,5;0,80;5,90;1,80
Herwig Prinoth;AUTOBRANCHIA;PTERIOMORPHIA;;PECTINIDA;;AVICULOPECTINOIDEA;ASOELLIDAE;;Gardenapecten;;trinkeri;Gardenapecten trinkeri;stationary, epifaunal suspension feeder;Ruf da Piz;RPGVBB;NA;NA;Lo5;Lo5_02;-252,337;;;RP, OBVG.01a.07;;1;;6,1;7,9;0,80;6,90;1,90
Posenato (1989);AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;TRIGONIIDA;Trigoniina ;TRIGONIOIDEA;MYOPHORIIDAE;;Neoschizodus;;ovatus;Neoschizodus ovatus;;Val Averta;4F;;;Ol3;;-248,05;;;;;;;8;9,5;0,80;8,70;2,20
Herwig Prinoth;AUTOBRANCHIA;PTERIOMORPHIA;;LIMIDA;;LIMOIDEA;LIMIDAE;;Palaeolima;;badiotica;Palaeolima badiotica;stationary, low-level epifaunal suspension feeder ;Preroman;PR061;10,9;Limestone;Lo4;Lo4_03;-253,174;;PR61b.09;PR61b.09.02;;1;;15,9;19;0,80;17,40;2,90
Hautmann von Hofmann et al. (2015);AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;fassaensis;Unionites fassaensis;;L'Om picol;LOP7;;;Ol1;;-250,9;LOP7-UF-5;;;;1;;10;12;0,80;11,00;2,40
Foster;AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;fassaensis;Unionites fassaensis;;l'Uomo;111;123;packestone;In2;;-251,39;;;;;1;;5,2;6,4;0,81;5,77;1,75
Foster;AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;fassaensis;Unionites fassaensis;;l'Uomo;111;123;packestone;In2;;-251,39;;;;;;1;4;4,9;0,82;4,43;1,49
Foster;AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;fassaensis;Unionites fassaensis;;l'Uomo;111;123;packestone;In2;;-251,39;;;;;;1;7,6;9,3;0,82;8,41;2,13
Foster;AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;fassaensis;Unionites fassaensis;;l'Uomo;111;123;packestone;In2;;-251,39;;;;;1;;2,7;3,3;0,82;2,98;1,09
Foster;AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;fassaensis;Unionites fassaensis;;l'Uomo;111;123;packestone;In2;;-251,39;;;;;1;;6,1;7,3;0,84;6,67;1,90
Foster;AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;fassaensis;Unionites fassaensis;;l'Uomo;111;123;packestone;In2;;-251,39;;;;;;1;5,7;6,8;0,84;6,23;1,83
Foster;AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;fassaensis;Unionites fassaensis;;l'Uomo;111;123;packestone;In2;;-251,39;;;;;;1;5,8;6,8;0,85;6,28;1,84
Foster;AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;fassaensis;Unionites fassaensis;;l'Uomo;111;123;packestone;In2;;-251,39;;;;;;1;5,5;6,4;0,86;5,93;1,78
Foster;AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;fassaensis;Unionites fassaensis;;l'Uomo;111;123;packestone;In2;;-251,39;;;;;1;;5,2;6;0,87;5,59;1,72
Foster;AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;fassaensis;Unionites fassaensis;;l'Uomo;111;123;packestone;In2;;-251,39;;;;;1;;6,1;7;0,87;6,53;1,88
Foster;AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;fassaensis;Unionites fassaensis;;l'Uomo;111;123;packestone;In2;;-251,39;;;;;1;;4,8;5,5;0,87;5,14;1,64
Foster;AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;fassaensis;Unionites fassaensis;;l'Uomo;111;123;packestone;In2;;-251,39;;;;;1;;7;8;0,88;7,48;2,01
Foster;AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;fassaensis;Unionites fassaensis;;l'Uomo;111;123;packestone;In2;;-251,39;;;;;;1;4,4;5;0,88;4,69;1,55
Hautmann von Hofmann et al. (2015);AUTOBRANCHIA;PTERIOMORPHIA;EUPTERIOMORPHIA;PECTINIDA;PECTINIA;PECTINOIDEA;PECTINIDAE;;Avichlamys;;voelseckhofensis;Avichlamys voelseckhofensis;;Costabella;CB (Val Badia, float);;;Ol1;;-250,9;31093;;;;1;;13,5;15;0,90;14,20;2,70
Posenato (1989);AUTOBRANCHIA;PTERIOMORPHIA;;OSTREIDA;;PTERIOIDEA;BAKEVELLIIDAE;;Bakevellia;gr.;exporrecta;Bakevellia exporrecta;;Val Averta;4F;;;Ol3;;-248,05;;;;;;;8,5;9,5;0,90;9,00;2,20
Hautmann von Hofmann et al. (2015);AUTOBRANCHIA;PTERIOMORPHIA;EUPTERIOMORPHIA;PECTINIDA;PECTININA;PTERIONPECTINOIDEA;PTERINOPECTINIDAE;;Claraia;;aurita;Claraia aurita;;Rosengarten;RG42;;;In2;;-251,39;RG42-CA-3;;;;1;;14,6;15,8;0,90;15,20;2,70
Hautmann von Hofmann et al. (2015);AUTOBRANCHIA;PTERIOMORPHIA;EUPTERIOMORPHIA;PECTINIDA;PECTININA;PTERIONPECTINOIDEA;PTERINOPECTINIDAE;;Claraia;;aurita;Claraia aurita;;Rosengarten;RG23;;;In2;;-251,39;RG23-CA-1;;;;1;;24;25,5;0,90;24,70;3,20
Herwig Prinoth;AUTOBRANCHIA;PTERIOMORPHIA;EUPTERIOMORPHIA;PECTINIDA;PECTININA;PTERIONPECTINOIDEA;PTERINOPECTINIDAE;;Claraia;;sp.;Claraia sp.;;Balest;BA.MMb.105;38;;In1;;-251,771;2;88;;;1;;9,5;10,8;0,90;10,10;2,30
Herwig Prinoth;AUTOBRANCHIA;PTERIOMORPHIA;EUPTERIOMORPHIA;PECTINIDA;PECTININA;PTERIONPECTINOIDEA;PTERINOPECTINIDAE;;Claraia;;sp.;Claraia sp.;;Balest;BA.MMb.105;38;;In1;;-251,771;9;7;;;1;;11,2;11,9;0,90;11,50;2,40
Herwig Prinoth;AUTOBRANCHIA;PTERIOMORPHIA;EUPTERIOMORPHIA;PECTINIDA;PECTININA;PTERIONPECTINOIDEA;PTERINOPECTINIDAE;;Claraia;;sp.;Claraia sp.;;Balest;BA.MMb.105;38;;In1;;-251,771;1;47;;;1;;11,4;12,2;0,90;11,80;2,50
Herwig Prinoth;AUTOBRANCHIA;PTERIOMORPHIA;EUPTERIOMORPHIA;PECTINIDA;PECTININA;PTERIONPECTINOIDEA;PTERINOPECTINIDAE;;Claraia;;sp.;Claraia sp.;;Balest;BA.MMb.105;38;;In1;;-251,771;12;43;;;1;;12,7;13,6;0,90;13,10;2,60
Herwig Prinoth;AUTOBRANCHIA;PTERIOMORPHIA;EUPTERIOMORPHIA;PECTINIDA;PECTININA;PTERIONPECTINOIDEA;PTERINOPECTINIDAE;;Claraia;;sp.;Claraia sp.;;Balest;BA.MMb.105;38;;In1;;-251,771;12;80;;;1;;12,8;14,9;0,90;13,80;2,60
Herwig Prinoth;AUTOBRANCHIA;PTERIOMORPHIA;EUPTERIOMORPHIA;PECTINIDA;PECTININA;PTERIONPECTINOIDEA;PTERINOPECTINIDAE;;Claraia;;sp.;Claraia sp.;;Balest;BA.MMb.105;38;;In1;;-251,771;12;22;;;1;;13;14,8;0,90;13,90;2,60
Herwig Prinoth;AUTOBRANCHIA;PTERIOMORPHIA;EUPTERIOMORPHIA;PECTINIDA;PECTININA;PTERIONPECTINOIDEA;PTERINOPECTINIDAE;;Claraia;;sp.;Claraia sp.;;Balest;BA.MMb.105;38;;In1;;-251,771;12;68;;;1;;13,1;15,2;0,90;14,10;2,60
Herwig Prinoth;AUTOBRANCHIA;PTERIOMORPHIA;EUPTERIOMORPHIA;PECTINIDA;PECTININA;PTERIONPECTINOIDEA;PTERINOPECTINIDAE;;Claraia;;sp.;Claraia sp.;;Balest;BA.MMb.105;38;;In1;;-251,771;1;23;;;1;;14,5;15,5;0,90;15,00;2,70
Herwig Prinoth;AUTOBRANCHIA;PTERIOMORPHIA;EUPTERIOMORPHIA;PECTINIDA;PECTININA;PTERIONPECTINOIDEA;PTERINOPECTINIDAE;;Claraia;;sp.;Claraia sp.;;Balest;BA.MMb.105;38;;In1;;-251,771;11;63;;;1;;15,5;17,8;0,90;16,60;2,80
Posenato (1989);AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;TRIGONIIDA;TRIGONIINA ;TRIGONIOIDEA;MYOPHORIIDAE;;Costatoria;;costata;Costatoria costata;;Val Averta;4F;;;Ol3;;-248,05;;;;;;;6;7;0,90;6,50;1,90
Hautmann von Hofmann et al. (2015);AUTOBRANCHIA;PTERIOMORPHIA;EUPTERIOMORPHIA;PECTINIDA;MONOTIDINA;BUCHIOIDEA;BUCHIIDAE;?;Crittendenia;;sp.;Crittendenia sp.;;Aferer Geisler;AG14;;;In2;;-251,39;AG14-Csp-1;;;;1;;16;17;0,90;16,50;2,80
Herwig Prinoth;AUTOBRANCHIA;PTERIOMORPHIA;;PECTINIDA;ENTOLIIDINA;HETEROPECTINOIDEA;HETEROPECTINIDAE;;Etheripecten;;stuflesseri;Etheripecten stuflesseri;stationary, epifaunal suspension feeder ;Preroman;PR061;10,9;Limestone;Lo4;Lo4_03;-253,174;MLCS 1309;PR61b.04;PR61b.04.01;;1;;16,9;18,6;0,90;17,70;2,90
Broglio Loriga and Mirabella (1986);AUTOBRANCHIA;PTERIOMORPHIA;;PECTINIDA;ENTOLIIDINA;HETEROPECTINOIDEA;HETEROPECTINIDAE;;Eumorphotis;;kittli;Eumorphotis kittli;;;;;;Ol2;;-249,75;;;;;1;;49;55;0,90;51,90;3,90
Herwig Prinoth;AUTOBRANCHIA;PTERIOMORPHIA;;PECTINIDA;ENTOLIIDINA;HETEROPECTINOIDEA;HETEROPECTINIDAE;;Eumorphotis;;lorigae;Eumorphotis lorigae;stationary, epifaunal suspension feeder ;Balest;BA713;145,4;Marl;Lo5;Lo5_03;-252,337;;;BA713.13.06;;1;;16,8;18,7;0,90;17,70;2,90
Herwig Prinoth;AUTOBRANCHIA;PTERIOMORPHIA;;PECTINIDA;ENTOLIIDINA;HETEROPECTINOIDEA;HETEROPECTINIDAE;;Eumorphotis;;multiformis;Eumorphotis multiformis;;Balest;BA.MMb.105;38;;In1;;-251,771;3;91;;;1;;8,4;9,5;0,90;8,90;2,20
Hautmann von Hofmann et al. (2015);AUTOBRANCHIA;PTERIOMORPHIA;;PECTINIDA;ENTOLIIDINA;HETEROPECTINOIDEA;HETEROPECTINIDAE;;Eumorphotis;cf.;multiformis;Eumorphotis multiformis;;Rosengarten;RG9;;;In1;;-251,771;RG9-EM-1;;;;1;;9,8;10,8;0,90;10,30;2,30
Hautmann von Hofmann et al. (2015);AUTOBRANCHIA;PTERIOMORPHIA;;PECTINIDA;ENTOLIIDINA;HETEROPECTINOIDEA;HETEROPECTINIDAE;;Eumorphotis;;multiformis;Eumorphotis multiformis;;Aferer Geisler;AG23;;;In2;;-251,39;31113;;;;1;;33;35;0,90;34,00;3,50
Hautmann von Hofmann et al. (2015);AUTOBRANCHIA;PTERIOMORPHIA;;PECTINIDA;ENTOLIIDINA;HETEROPECTINOIDEA;HETEROPECTINIDAE;;Eumorphotis;cf.;multiformis;Eumorphotis multiformis;;Rosengarten;RG25;;;In2;;-251,39;RG25-EM-1;;;;1;;23;26;0,90;24,50;3,20
Herwig Prinoth;AUTOBRANCHIA;PTERIOMORPHIA;;PECTINIDA;ENTOLIIDINA;HETEROPECTINOIDEA;HETEROPECTINIDAE;;Eumorphotis;;praecurrens;Eumorphotis praecurrens;stationary, epifaunal suspension feeder ;Balest;BA097;15,3;Dolomite;Lo3;Lo3_01;-254;MLCS 96;BA97.22;BA97.22.01;;1;;25;26,4;0,90;25,70;3,20
Herwig Prinoth;AUTOBRANCHIA;PTERIOMORPHIA;;PECTINIDA;ENTOLIIDINA;HETEROPECTINOIDEA;HETEROPECTINIDAE;;Eumorphotis;;striatocostata;Eumorphotis striatocostata;stationary, epifaunal suspension feeder ;Balest;BA461;110,7;Limestone;Lo4;Lo4_03;-253,174;;BA461.205;BA461.205.01;;1;;7,7;8,7;0,90;8,20;2,10
Herwig Prinoth;AUTOBRANCHIA;PTERIOMORPHIA;;PECTINIDA;ENTOLIIDINA;HETEROPECTINOIDEA;HETEROPECTINIDAE;;Eumorphotis;;striatocostata;Eumorphotis striatocostata;stationary, epifaunal suspension feeder ;Balest;BA463;111,1;Silty dolomite;Lo4;Lo4_03;-253,174;MLCS 755;BA463b.02;BA463b.02.01;;1;;12;12,7;0,90;12,30;2,50
Herwig Prinoth;AUTOBRANCHIA;PTERIOMORPHIA;;PECTINIDA;ENTOLIIDINA;HETEROPECTINOIDEA;HETEROPECTINIDAE;;Eumorphotis;;striatocostata;Eumorphotis striatocostata;stationary, epifaunal suspension feeder ;Balest;BA463;111,1;Silty dolomite;Lo4;Lo4_03;-253,174;MLCS 1713;BA463.89;BA463.89.01;;1;;25,9;29;0,90;27,40;3,30
Herwig Prinoth;AUTOBRANCHIA;PTERIOMORPHIA;;PECTINIDA;ENTOLIIDINA;HETEROPECTINOIDEA;HETEROPECTINIDAE;;Eumorphotis;;striatocostata;Eumorphotis striatocostata;stationary, epifaunal suspension feeder ;Balest;BA460;110,55;Limestone;Lo4;Lo4_03;-253,174;MLCS 305;BA460.01;BA460.01.01;;1;;34;39,3;0,90;36,60;3,60
Herwig Prinoth;AUTOBRANCHIA;PTERIOMORPHIA;;PECTINIDA;ENTOLIIDINA;HETEROPECTINOIDEA;HETEROPECTINIDAE;;Eumorphotis;;striatocostata;Eumorphotis striatocostata;stationary, epifaunal suspension feeder ;Balest;BA461;110,7;Limestone;Lo4;Lo4_03;-253,174;;BA461.174.03;BA461.174.03.01;;1;;34,6;40,6;0,90;37,50;3,60
Herwig Prinoth;AUTOBRANCHIA;PTERIOMORPHIA;;PECTINIDA;ENTOLIIDINA;HETEROPECTINOIDEA;HETEROPECTINIDAE;;Eumorphotis;;striatocostata;Eumorphotis striatocostata;stationary, epifaunal suspension feeder ;Balest;BA460;110,55;Limestone;Lo4;Lo4_03;-253,174;MLCS 306;BA460.02;BA460.02.01;;1;;41;44,5;0,90;42,70;3,80
Herwig Prinoth;AUTOBRANCHIA;PTERIOMORPHIA;;PECTINIDA;ENTOLIIDINA;HETEROPECTINOIDEA;HETEROPECTINIDAE;;Eumorphotis;;striatocostata;Eumorphotis striatocostata;stationary, epifaunal suspension feeder ;Jmueia;JM028;9,05;Limestone;Lo4;Lo4_03;-253,174;MLCS 1722;JM28.01;JM28.01.01;;1;;35,8;41;0,90;38,30;3,60
Herwig Prinoth;AUTOBRANCHIA;PTERIOMORPHIA;;PECTINIDA;ENTOLIIDINA;HETEROPECTINOIDEA;HETEROPECTINIDAE;;Eumorphotis;;striatocostata;Eumorphotis striatocostata;stationary, epifaunal suspension feeder ;Preroman;PR061;10,9;Limestone;Lo4;Lo4_03;-253,174;MLCS 1225;PR61a.195;PR61a.195.01;;1;;7,3;8,4;0,90;7,80;2,10
Herwig Prinoth;AUTOBRANCHIA;PTERIOMORPHIA;;PECTINIDA;ENTOLIIDINA;HETEROPECTINOIDEA;HETEROPECTINIDAE;;Eumorphotis;;striatocostata;Eumorphotis striatocostata;stationary, epifaunal suspension feeder ;Preroman;PR061;10,9;Limestone;Lo4;Lo4_03;-253,174;MLCS 1037;PR61a.06;PR61a.06.01;;1;;16,7;18,9;0,90;17,80;2,90
Herwig Prinoth;AUTOBRANCHIA;PTERIOMORPHIA;;PECTINIDA;ENTOLIIDINA;HETEROPECTINOIDEA;HETEROPECTINIDAE;;Eumorphotis;;striatocostata;Eumorphotis striatocostata;stationary, epifaunal suspension feeder ;Balest;BA599;129,1;Limestone;Lo5;Lo5_01;-252,337;;;BA599.01.02;;1;;16,2;17,7;0,90;16,90;2,80
Herwig Prinoth;AUTOBRANCHIA;PTERIOMORPHIA;;PECTINIDA;ENTOLIIDINA;HETEROPECTINOIDEA;HETEROPECTINIDAE;;Eumorphotis;;striatocostata;Eumorphotis striatocostata;stationary, epifaunal suspension feeder ;Balest;BA599;129,1;Limestone;Lo5;Lo5_01;-252,337;MLCS 1977;BA599.11;BA599.11.01;;1;;19,2;20,3;0,90;19,70;3,00
Herwig Prinoth;AUTOBRANCHIA;PTERIOMORPHIA;;PECTINIDA;ENTOLIIDINA;HETEROPECTINOIDEA;HETEROPECTINIDAE;;Eumorphotis;;striatocostata;Eumorphotis striatocostata;stationary, epifaunal suspension feeder ;Balest;BA599;129,1;Limestone;Lo5;Lo5_01;-252,337;;;BA599.10.03;;1;;25,5;27,6;0,90;26,50;3,30
Herwig Prinoth;AUTOBRANCHIA;PTERIOMORPHIA;;PECTINIDA;ENTOLIIDINA;HETEROPECTINOIDEA;HETEROPECTINIDAE;;Eumorphotis;;striatocostata;Eumorphotis striatocostata;stationary, epifaunal suspension feeder ;Balest;BA599;129,1;Limestone;Lo5;Lo5_01;-252,337;MLCS 1971;BA599.05;BA599.05.01;;1;;27,1;31,9;0,90;29,40;3,40
Herwig Prinoth;AUTOBRANCHIA;PTERIOMORPHIA;;PECTINIDA;ENTOLIIDINA;HETEROPECTINOIDEA;HETEROPECTINIDAE;;Eumorphotis;;striatocostata;Eumorphotis striatocostata;stationary, epifaunal suspension feeder ;Balest;BA599;129,1;Limestone;Lo5;Lo5_01;-252,337;MLCS 1974;BA599.08;BA599.08.01;;1;;31,9;34,8;0,90;33,30;3,50
