Worker;Subclass;Infraclass;Superorder;Order;Suborder;Superfamily;Family;ONG;Genus;ONS;Species;Name;Ecology;Section;Sample;Height;Lithology;StrSeq;StrSeq_sub;Age;Coll. No.;No. of rock sample;No. of specimen;BNM;LV;RV;Length;Height;L/H;Gsize;LN
Foster;AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;fassaensis;Unionites fassaensis;;l'Uomo;111;123;packestone;In2;;-251,39;;;;;1;;5,8;7,6;0,76;6,64;1,89
Foster;AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;fassaensis;Unionites fassaensis;;l'Uomo;111;123;packestone;In2;;-251,39;;;;;1;;4,6;6;0,77;5,25;1,66
Foster;AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;fassaensis;Unionites fassaensis;;l'Uomo;111;123;packestone;In2;;-251,39;;;;;1;;6,6;8,6;0,77;7,53;2,02
Foster;AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;fassaensis;Unionites fassaensis;;l'Uomo;111;123;packestone;In2;;-251,39;;;;;1;;4,8;6,2;0,77;5,46;1,70
Foster;AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;fassaensis;Unionites fassaensis;;l'Uomo;111;123;packestone;In2;;-251,39;;;;;;1;5,5;7,1;0,77;6,25;1,83
Foster;AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;fassaensis;Unionites fassaensis;;l'Uomo;111;123;packestone;In2;;-251,39;;;;;;1;8,3;10,7;0,78;9,42;2,24
Foster;AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;fassaensis;Unionites fassaensis;;l'Uomo;111;123;packestone;In2;;-251,39;;;;;;1;5,7;7,3;0,78;6,45;1,86
Foster;AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;fassaensis;Unionites fassaensis;;l'Uomo;111;123;packestone;In2;;-251,39;;;;;;1;5,8;7,4;0,78;6,55;1,88
Foster;AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;fassaensis;Unionites fassaensis;;l'Uomo;111;123;packestone;In2;;-251,39;;;;;1;;4,8;6,1;0,79;5,41;1,69
Foster;AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;fassaensis;Unionites fassaensis;;l'Uomo;111;123;packestone;In2;;-251,39;;;;;;1;5,3;6,7;0,79;5,96;1,78
Foster;AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;fassaensis;Unionites fassaensis;;l'Uomo;111;123;packestone;In2;;-251,39;;;;;1;;6,1;7,7;0,79;6,85;1,92
Neri and Posenato (1985);AUTOBRANCHIA;PTERIOMORPHIA;;OSTREIDA;;PTERIOIDEA;BAKEVELLIIDAE;;Bakevellia;cf.;costata;Bakevellia costata;;Val Averta;4F;;;Ol3;;-248,05;;;;;1;;5,3;6,4;0,80;5,80;1,80
Herwig Prinoth;AUTOBRANCHIA;PTERIOMORPHIA;EUPTERIOMORPHIA;PECTINIDA;PECTININA;PTERIONPECTINOIDEA;PTERINOPECTINIDAE;;Claraia;;sp.;Claraia sp.;;Balest;BA.MMb.105;38;;In1;;-251,771;12;65;;;1;;12,8;16,3;0,80;14,40;2,70
Herwig Prinoth;AUTOBRANCHIA;HETEROCONCHIA;;ADAPEDONTA;;EDMONDIOIDEA;EDMONDIIDAE;;Edmondia;;hautmanni;Edmondia hautmanni;facultatively mobile, infaunal suspension feeder ;Jmueia;JM028;9,05;Limestone;Lo4;Lo4_03;-253,174;MLCS2010;JM28.37;JM28.37.01;;;1;7,8;10,2;0,80;8,90;2,20
Neri and Posenato (1985);AUTOBRANCHIA;PTERIOMORPHIA;EUPTERIOMORPHIA;PECTINIDA;ENTOLIIDINA;ENTOLIOIDEA;ENTOLIIDAE;;Entolium;;discites;Entolium discites;;Val Averta;2F;;;Ol2;;-249,75;;;;;1;;16,5;19,7;0,80;18,00;2,90
